pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature
ngts-13 b,1.142,4.84,4.119027,0.086,NGTS-13,1.3,1.788,5918.0,657.0,176.241666686,-38.13972223,2021,Primary Transit,
ngts-14 ab,0.44,0.092,3.5357173,0.0,NGTS-14 A,0.898,0.842,5187.0,325.1,328.516666668,-38.377500016,2021,Primary Transit,
ngts-15 b,1.1,0.751,3.27623,0.0,NGTS-15,0.995,0.954,5600.0,791.0,73.354166675,-32.800277794,2021,Primary Transit,
ngts-16 b,1.3,0.667,4.84532,0.0,NGTS-16,1.002,1.213,5550.0,892.0,58.262500001,-30.804722242,2021,Primary Transit,
ngts-17 b,1.24,0.764,3.24253,0.0,NGTS-17,1.025,1.337,5650.0,1047.0,72.900000012,-34.226111123,2021,Primary Transit,
ngts-18 b,1.21,0.409,3.05125,0.0,NGTS-18,1.003,1.392,5610.0,1108.0,180.545833337,-35.548611134,2021,Primary Transit,
ngts-1 b,1.33,0.812,2.647298,0.016,NGTS-1,0.617,0.573,3916.0,224.0,82.716666684,-36.630833357,2017,Primary Transit,
ngts-20 b,1.07,2.98,54.18915,0.432,NGTS-20,1.47,1.78,5980.0,366.2,46.29166667,-21.93361113,2022,Primary Transit,
ngts-21 b,1.33,2.36,1.5433897,0.0,NGTS-21,0.72,0.86,4660.0,641.0,311.258333334,-35.427777795,2022,Primary Transit,
ngts-23 b,1.267,0.613,4.076,0.0,NGTS-23,1.01,1.24,6057.0,991.0,70.433333348,-40.044722232,2022,Primary Transit,
ngts-24 b,1.214,0.52,3.4678796,0.0,NGTS-24,1.26,1.64,5820.0,723.0,168.554166671,-37.910277804,2022,Primary Transit,
ngts-25 b,1.023,0.639,2.823093,0.0,NGTS-25,0.91,0.86,5321.0,517.0,307.41666668,-39.032222235,2022,Primary Transit,
ngts-26 b,1.33,0.29,4.5199279,0.0,NGTS-26,0.96,1.16,5550.0,1107.0,217.68291666666667,-31.732444444444443,2024,Primary Transit,
ngts-27 b,1.396,0.593,3.3704181,0.0,NGTS-27,1.07,1.77,5700.0,977.0,206.02625,-32.52297222222222,2024,Primary Transit,
ngts-29 b,0.857,0.39,69.33684,0.17,NGTS-29,1.034,1.006,5730.0,149.4,70.9975,-39.906666666666666,2024,Primary Transit,
ngts-2 b,1.536,0.67,4.5111204,0.0,NGTS-2,1.64,1.702,6478.0,360.3,215.12500001,-31.20194445,2018,Primary Transit,
ngts-30 b,0.93,0.96,98.29838,0.29,NGTS-30,0.94,0.913,5455.0,233.9,173.714875,-24.605486111111112,2024,Primary Transit,
ngts-31 b,1.61,1.12,4.162734,0.0,NGTS-31,,,,,80.42129166666666,-38.65680833333333,2021,Primary Transit,
ngts-32 b,1.42,0.57,3.31211,0.0,NGTS-32,,,,,223.85766666666663,-18.432305555555555,2024,Primary Transit,
ngts-33 b,1.64,3.63,2.827972,0.0,NGTS-33,,,,,107.83333333333331,-35.850516666666664,2024,Primary Transit,
ngts-34 b,0.3256,0.0601,43.12655,0.0,NGTS-34,1.266,1.367,6134.0,120.34,162.49970833333333,-44.54785833333333,2024,Primary Transit,
ngts-35 b,0.972,0.478,25.241192,0.19,NGTS-35,0.789,0.753,4717.0,183.35,170.27633333333333,-26.06661666666667,2024,Primary Transit,
ngts-3 ab,1.48,2.38,1.6753728,0.0,NGTS-3 A,1.017,0.93,5570.0,1010.0,94.444801,-35.706394,2018,Primary Transit,
ngts-4 b,0.2837,0.0648,1.3373508,0.0,NGTS-4,0.75,0.84,5143.0,282.6,89.600000008,-30.81194447,2018,Primary Transit,
ngts-5 ab,1.136,0.229,3.3569866,0.0,NGTS-5 A,0.661,0.739,4987.0,309.5,221.058333338,5.605277794,2019,Primary Transit,
ngts-6 ab,1.271,1.33,0.882058,0.0,NGTS-6 A,0.7876,0.656,4410.0,311.0,75.795833337,-30.399444465,2019,Primary Transit,
ngts-8 b,1.09,0.93,2.4997,0.01,NGTS-8,0.89,0.98,5241.0,434.273,328.975000018,-14.068333336,2019,Primary Transit,
ngts-9 b,1.07,2.9,4.43527,0.06,NGTS-9,1.34,1.38,6330.0,619.732,141.920833347,-19.34722224,2019,Primary Transit,
nn ser (ab)c,,6.91,5660.0,0.0,NN Ser (AB),0.646,,,500.0,238.2333333,12.9130556,2010,Timing,
nn ser (ab)d,,2.28,2830.0,0.2,NN Ser (AB),0.646,,,500.0,238.2333333,12.9130556,2009,Timing,
nn ser (ab)e,,,7371.0,0.2,NN Ser (AB),0.646,,,500.0,238.2333333,12.9130556,2023,Timing,
nsvs 1425 (ab) b,,,2542.0,0.18,NSVS 1425 (AB),0.528,,42000.0,,305.0,4.6325,2012,Timing,
