pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hd 104067 b,,50.8528,55.806,0.0,HD 104067,0.62,0.74,4937.0,20.3632,179.7923543,-20.3556058,2009.0,Radial Velocity,,K
hd 104067 c,,13.2,13.8992,0.29,HD 104067,0.82,0.78,4952.0,20.3632,179.7923543,-20.3556058,2024.0,Radial Velocity,,K
hd 10442 b,,667.41,1043.0,0.11,HD 10442,1.56,,5034.0,135.374,25.471524,2.7044193,2014.0,Radial Velocity,,K2 IV
hd 108202 b,,953.485221,2990.0,0.52,HD 108202,0.74,,,38.6846,186.4613189,-1.1109233,2023.0,Radial Velocity,,K4/5 V
hd 108341 b,,715.11391575,1148.0,0.769,HD 108341,0.843,,5122.0,48.9102,186.8791724,-71.4224896,2014.0,Radial Velocity,,K2 V
hd 108863 b,,902.6372,443.39999,0.0,HD 108863,2.17,7.19,4863.0,164.742,187.5826081,21.9480993,2011.0,Radial Velocity,,K
hd 10975 b,,143.02278315,283.8,0.442,HD 10975,1.41,11.16,4840.0,116.506,27.1628025,37.9527542,2021.0,Radial Velocity,,K0 III
hd 110067 b,2.2,5.69,9.113678,,HD 110067,0.798,0.788,5266.0,32.1585,189.8392243,20.0273377,2023.0,Transit,800.0,K0.0 V
hd 110067 c,2.388,6.3,13.673694,,HD 110067,0.798,0.788,5266.0,32.1585,189.8392243,20.0273377,2023.0,Transit,699.0,K0.0 V
hd 110067 d,2.852,8.52,20.519617,,HD 110067,0.798,0.788,5266.0,32.1585,189.8392243,20.0273377,2023.0,Transit,602.0,K0.0 V
hd 110067 e,1.94,3.9,30.793091,,HD 110067,0.798,0.788,5266.0,32.1585,189.8392243,20.0273377,2023.0,Transit,533.0,K0.0 V
hd 110067 f,2.601,5.04,41.05854,,HD 110067,0.798,0.788,5266.0,32.1585,189.8392243,20.0273377,2023.0,Transit,489.0,K0.0 V
hd 110067 g,2.607,8.4,54.76992,,HD 110067,0.798,0.788,5266.0,32.1585,189.8392243,20.0273377,2023.0,Transit,440.0,K0.0 V
hd 111591 b,,1398.452,1056.4,0.26,HD 111591,1.94,8.03,4884.0,114.166,192.5725483,22.8631285,2017.0,Radial Velocity,,K
hd 112570 b,,1086.97315194,2615.0,0.2,HD 112570,1.15,9.85,4750.0,101.166,194.2824262,46.1765638,2023.0,Radial Velocity,,K0 III
hd 112640 b,,1589.15,613.2,0.24,HD 112640,1.8,39.0,4155.0,323.335,194.2415171,67.2429122,2020.0,Radial Velocity,,K0 III
hd 113538 b,,114.41,663.2,0.14,HD 113538,0.585,0.53,4462.0,16.2817,196.233933,-52.4463502,2010.0,Radial Velocity,,K9 V
hd 113538 c,,225.65,1657.0,0.32,HD 113538,0.7,0.65,4685.0,16.2817,196.233933,-52.4463502,2010.0,Radial Velocity,,K9 V
hd 113996 b,,2002.329,610.2,0.28,HD 113996,1.49,25.11,4181.0,116.334,196.794874,27.6244384,2017.0,Radial Velocity,,K
hd 114386 b,,362.3262,937.70001,0.23,HD 114386,0.6,0.76,4836.0,27.9243,197.6652124,-35.0561807,2003.0,Radial Velocity,,K
hd 114386 c,,117.59651059,444.0,0.1,HD 114386,0.8,,4895.0,27.9243,197.6652124,-35.0561807,2026.0,Radial Velocity,,K3 VC
hd 114783 c,,603.8739733,4352.0,0.05,HD 114783,0.9,,,21.0628,198.1818436,-2.2649921,2016.0,Radial Velocity,,K1 V
hd 116029 b,,667.4,670.0,0.054,HD 116029,1.58,4.6,4951.0,123.245,200.1646905,24.6484725,2011.0,Radial Velocity,,K
hd 118203 c,,3527.8953177,5070.0,0.257,HD 118203,1.22,2.03,5788.0,92.2589,203.509956,53.7281876,2024.0,Radial Velocity,146.0,K0 IV
hd 120084 b,,1373.9,,,HD 120084,2.661,11.03,4892.0,103.044,205.661989,78.0646376,2013.0,Radial Velocity,,K
hd 12648 b,,622.9468,133.60001,0.04,HD 12648,0.67,11.02,4835.0,182.192,34.7480718,85.7365329,2015.0,Radial Velocity,,K
hd 128311 b,,460.83,454.2,0.345,HD 128311,0.828,,4965.0,16.3292,219.0032292,9.7454368,2002.0,Radial Velocity,,K0
hd 128356 b,,282.8687,298.2,0.57,HD 128356,0.65,0.85,4875.0,26.1548,219.2702793,-25.8031728,2016.0,Radial Velocity,,K3 V
hd 131496 b,,699.2,883.0,0.163,HD 131496,1.61,4.3,4927.0,131.849,223.3461495,18.2352618,2011.0,Radial Velocity,,K
hd 13189 b,,3480.2385,471.60001,0.27,HD 13189,2.24,38.41,4175.0,497.823,32.4173964,32.3164548,2005.0,Radial Velocity,,K
hd 136418 b,,635.633,464.3,0.255,HD 136418,1.33,3.4,5071.0,105.168,229.7756438,41.732423,2009.0,Radial Velocity,,K
hd 137388 b,,70.8731,330.0,0.36,HD 137388,0.86,0.82,5240.0,40.4841,233.915082,-80.2044169,2011.0,Radial Velocity,,K
hd 13808 b,,11.2,14.1815,0.071,HD 13808,0.771,0.781,5035.0,28.2305,33.1780708,-53.7437591,2021.0,Radial Velocity,,K2 V
hd 13808 c,,9.96,53.753,0.156,HD 13808,0.771,0.781,5035.0,28.2305,33.1780708,-53.7437591,2021.0,Radial Velocity,,K2 V
hd 139357 b,,5784.4770074,1128.0,0.102,HD 139357,1.35,,4700.0,112.09,233.8173564,53.9221505,2008.0,Radial Velocity,,K4 III
hd 14067 b,,2860.3,2850.0,0.697,HD 14067,,10.7687,4846.0,142.024,34.293348,23.7676546,2014.0,Radial Velocity,,K
hd 141399 c,,432.2488,202.08,0.05,HD 141399,1.14,1.46,5360.0,37.0169,236.7235392,46.986288,2014.0,Radial Velocity,,K0 V
hd 142245 b,,603.9,1299.0,0.09,HD 142245,1.69,5.2,4878.0,97.2305,238.2342443,15.4306118,2011.0,Radial Velocity,,K
hd 145457 b,,921.668,176.3,0.112,HD 145457,1.9,9.9,4757.0,135.292,242.5162215,26.7429068,2010.0,Radial Velocity,,K
hd 145934 b,,648.36995028,2790.0,0.057,HD 145934,1.812692,6.930587,4823.75,227.881,243.2912249,13.2394527,2015.0,Radial Velocity,,K
hd 14787 b,,356.28743,676.6,0.155,HD 14787,1.43,5.01,4946.0,119.137,35.8085099,10.8367972,2018.0,Radial Velocity,,K
hd 150010 b,,762.7881768,562.0,0.2,HD 150010,1.3,16.2,4153.0,144.49,247.8670682,72.6125804,2022.0,Radial Velocity,,K2 III
