pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
kepler-1980 b,2.84500003,,33.0257988,,Kepler-1980,1.049,0.99,5819.0,1709.4,295.1672065,38.637039,2023.0,Transit,,G
kepler-1981 b,9.4119997,,453.5429993,,Kepler-1981,1.519,3.006,5874.0,659.395,287.9754691,38.7402988,2023.0,Transit,,G
kepler-1986 b,1.69,,19.5489365,0.0,Kepler-1986,0.776,0.729,5548.0,912.085,292.9582727,42.8548909,2023.0,Transit,578.0,G
kepler-199 b,2.9,,23.6421965,0.0,Kepler-199,0.98,0.882,5750.0,521.054,295.5594278,40.236249,2014.0,Transit,595.0,G
kepler-199 c,3.15,,67.0932997,,Kepler-199,0.96,0.88,5709.0,521.054,295.5594278,40.236249,2014.0,Transit,,G
kepler-1990 b,3.69,,1.7351365,0.0,Kepler-1990,1.112,1.079,5838.0,392.739,299.7047433,44.4357068,2023.0,Transit,1571.0,G
kepler-1990 c,1.09,,4.068545,0.0,Kepler-1990,1.112,1.079,5838.0,392.739,299.7047433,44.4357068,2023.0,Transit,1173.0,G
kepler-1991 b,1.23,,13.26107,0.0,Kepler-1991,0.923,0.82,5603.0,855.82,285.0360506,45.0709909,2023.0,Transit,683.0,G
kepler-1991 c,2.446,,22.79021423,,Kepler-1991,0.941,0.961,5486.0,855.82,285.0360506,45.0709909,2023.0,Transit,,G
kepler-1992 b,0.91,,15.611223,0.0,Kepler-1992,0.821,0.946,5466.0,532.955,295.0902409,45.0811045,2023.0,Transit,693.0,G
kepler-1994 b,0.51,,4.61225043,0.0,Kepler-1994,0.932,0.961,5495.0,241.991,297.1487941,46.2969247,2023.0,Transit,1032.0,G
kepler-1998 b,0.6,,3.03267135,0.0,Kepler-1998,0.962,0.921,5640.0,340.965,283.4291536,47.5923973,2023.0,Transit,1187.0,G
kepler-20 b,2.11,,3.696119675,0.0,Kepler-20,0.876,0.925,5465.0,282.563,287.6979913,42.3385782,2011.0,Transit,1095.0,G
kepler-20 c,3.17,,10.8540894,0.0,Kepler-20,0.901,0.939,5443.0,282.563,287.6979913,42.3385782,2011.0,Transit,763.0,G
kepler-20 d,2.62,,77.6115987,0.0,Kepler-20,0.876,0.925,5465.0,282.563,287.6979913,42.3385782,2011.0,Transit,397.0,G
kepler-20 e,0.82,,6.09853672,0.0,Kepler-20,0.876,0.925,5465.0,282.563,287.6979913,42.3385782,2011.0,Transit,927.0,G
kepler-20 f,,,19.5776073,,Kepler-20,0.96,0.914982,5489.0,282.563,287.6979913,42.3385782,2011.0,Transit,,G
kepler-200 b,1.75,,8.59481851,0.0,Kepler-200,0.878,0.915,5675.0,665.912,284.4099503,41.2374928,2014.0,Transit,854.0,G
kepler-200 c,1.46,,10.22214214,,Kepler-200,0.98,0.95,5773.0,665.912,284.4099503,41.2374928,2014.0,Transit,,G
kepler-203 b,2.29,,3.162691238,0.0,Kepler-203,1.013,0.937,5949.0,703.302,297.089959,41.3880686,2014.0,Transit,1234.0,G
kepler-203 c,2.14,,5.370645868,0.0,Kepler-203,1.013,0.937,5949.0,703.302,297.089959,41.3880686,2014.0,Transit,1034.0,G
kepler-203 d,1.18,,11.32984,0.0,Kepler-203,1.01,0.91,5924.0,703.302,297.089959,41.3880686,2014.0,Transit,793.0,G
kepler-206 b,1.263,,,,Kepler-206,,1.092,5691.0,594.447,291.6346564,41.8338415,2014.0,Transit,,G
kepler-206 c,1.57,,13.13745719,0.0,Kepler-206,0.981,1.06,5762.0,594.447,291.6346564,41.8338415,2014.0,Transit,795.0,G
kepler-206 d,0.967,,23.4432353,,Kepler-206,0.957,1.078,5691.0,594.447,291.6346564,41.8338415,2014.0,Transit,,G
kepler-207 b,1.57,,1.611865,,Kepler-207,,1.588,5920.0,875.519,290.0305195,42.1660555,2014.0,Transit,,G
kepler-207 c,1.815,,,,Kepler-207,,1.709,5969.0,875.519,290.0305195,42.1660555,2014.0,Transit,,G
kepler-208 e,1.72,,16.25951967,0.0,Kepler-208,1.213,1.499,5966.0,775.328,293.8901979,42.5279413,2014.0,Transit,880.0,G
kepler-209 b,2.6,,16.08786478,0.0,Kepler-209,0.876,1.043,5514.0,576.946,291.1694567,42.6407281,2014.0,Transit,719.0,G
kepler-209 c,,,41.74945104,,Kepler-209,0.96,0.962384,5463.31,576.946,291.1694567,42.6407281,2014.0,Transit,,G
kepler-212 b,0.87,,16.2583586,0.0,Kepler-212,1.137,1.141,5914.0,687.194,287.6208165,43.1416239,2014.0,Transit,769.0,G
kepler-212 c,2.06,,31.80474045,0.0,Kepler-212,1.137,1.141,5914.0,687.194,287.6208165,43.1416239,2014.0,Transit,615.0,G
kepler-213 b,1.462,,,,Kepler-213,,1.104,5658.0,634.939,290.8241931,44.6472832,2014.0,Transit,,G
kepler-213 c,1.68,,4.82297735,0.0,Kepler-213,0.994,0.898,5822.0,634.939,290.8241931,44.6472832,2014.0,Transit,1030.0,G
kepler-215 b,,,9.36064358,,Kepler-215,1.015,0.896627,5697.97,485.997,294.9735313,45.2136867,2014.0,Transit,,G
kepler-215 c,,,14.6672293,,Kepler-215,1.015,0.896627,5697.97,485.997,294.9735313,45.2136867,2014.0,Transit,,G
kepler-215 e,1.45,,68.1609897,0.0,Kepler-215,0.92,0.828,5677.0,485.997,294.9735313,45.2136867,2014.0,Transit,405.0,G
kepler-218 b,1.48,,3.619337,,Kepler-218,,1.063,5502.0,656.38,295.4128785,46.2665801,2014.0,Transit,,G
kepler-218 c,3.074,,,,Kepler-218,,1.053,5594.0,656.38,295.4128785,46.2665801,2014.0,Transit,,G
kepler-218 d,2.69,,124.5245224,0.0,Kepler-218,0.988,1.046,5497.0,656.38,295.4128785,46.2665801,2016.0,Transit,356.0,G
kepler-219 b,,,4.585466941,,Kepler-219,1.03,1.28163,5766.61,787.07,288.7389481,46.7625929,2014.0,Transit,,G
kepler-219 c,,,22.71443351,,Kepler-219,1.03,1.28163,5766.61,787.07,288.7389481,46.7625929,2014.0,Transit,,G
kepler-219 d,2.806,,,,Kepler-219,,1.18,5873.0,787.07,288.7389481,46.7625929,2014.0,Transit,,G
kepler-22 b,2.04,,289.864456,,Kepler-22,0.9,0.94,5698.0,194.642,289.2172051,47.8841427,2011.0,Transit,,G
kepler-223 b,1.8,,7.38441403,0.0,Kepler-223,0.902,1.003,5825.0,1859.71,298.3183909,47.2794824,2014.0,Transit,961.0,G
kepler-223 d,3.46,,14.78767172,0.0,Kepler-223,1.055,1.248,5814.0,1859.71,298.3183909,47.2794824,2014.0,Transit,827.0,G
kepler-223 e,,,19.7243672,,Kepler-223,1.04,1.51701,5803.0,1859.71,298.3183909,47.2794824,2014.0,Transit,,G
kepler-226 c,2.7,,5.34955671,0.0,Kepler-226,0.883,0.806,5559.0,980.138,292.3760942,47.8809596,2014.0,Transit,918.0,G
