pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
toi-5716 b,0.96,,6.7663,,TOI-5716,0.19,0.22,3436.0,39.4122,201.9007989,73.1774325,2025.0,Transit,400.0,M
toi-5720 b,1.39321904,,1.43446023837,,TOI-5720,,0.37103,3421.0,35.8256,170.3135774,25.2732942,2024.0,Transit,691.29,M
toi-5728 b,1.31,,11.49761,,TOI-5728,0.36,0.37,3419.0,54.7045,260.3509363,67.5504212,2025.0,Transit,382.0,M
toi-5799 b,1.625,,4.164753,,TOI-5799,0.337,0.328,3514.0,27.8123,301.630179,15.9891418,2024.0,Transit,518.01,M
toi-5799 c,1.76,,14.010449,,TOI-5799,0.325,0.321,3452.0,27.8123,301.630179,15.9891418,2025.0,Transit,337.0,M2 V
toi-5916 b,10.9197,,2.3682389,,TOI-5916,,0.49,3504.0,199.724,325.2995114,9.5990534,2026.0,Transit,735.0,M
toi-6000 b,0.94,,0.448959,,TOI-6000,0.37,0.38,3419.0,75.7664,292.6062979,68.1545924,2025.0,Transit,1120.0,M
toi-6002 b,1.5489482,,10.90483924619,,TOI-6002,,0.242121,3272.0,32.0266,299.6142524,32.2871702,2024.0,Transit,296.4,M
toi-6008 b,1.24654784,,0.85737269789,,TOI-6008,,0.235048,3098.0,23.1008,310.4487344,49.6468992,2024.0,Transit,649.33,M
toi-6034 b,11.92,254.0,2.576184,0.04,TOI-6034,0.514,0.489,3635.0,117.992,317.9001392,68.4020762,2024.0,Transit,714.0,M
toi-6086 b,1.18,,1.3888725,,TOI-6086,0.254,0.259,3200.0,31.4566,265.3704236,30.3037755,2024.0,Transit,634.0,M3.0
toi-620 b,3.76,,5.0988179,0.22,TOI-620,0.577,0.55,3708.0,33.0231,142.1734459,-12.1671652,2022.0,Transit,603.6,M2.5 V
toi-6223 b,5.07,,3.855219,,TOI-6223,0.582,0.576,3895.0,133.122,355.9505977,33.0672361,2025.0,Transit,714.0,M0 V
toi-6255 b,1.079,1.44,0.23818244,0.0,TOI-6255,0.353,0.37,3421.0,20.3167,331.5031606,39.2988284,2024.0,Transit,,M
toi-6324 b,1.059,1.17,0.279221,0.0,TOI-6324,0.269,0.293,3247.0,20.5488,330.844543,67.4986773,2025.0,Transit,1216.0,M
toi-6330 b,10.89,3179.0,6.8500246,0.34,TOI-6330,0.531,0.49,3539.0,139.042,22.1679816,53.6860778,2025.0,Transit,495.0,M
toi-6383 a b,11.29,331.0,1.79058695,0.05,TOI-6383 A,0.458,0.457,3444.0,171.319,60.4246951,60.8913677,2024.0,Transit,745.0,M3
toi-6478 b,4.6,,34.005019,,TOI-6478,0.23,0.234,3230.0,38.6057,149.9918059,-16.1597935,2025.0,Transit,204.4,M4.0+/-0.5
toi-654.01,2.378,8.71,1.527561,0.0,TOI-654,0.419,0.43,3521.0,57.7553,164.7245509,-5.5475446,2024.0,Transit,794.0,M2 V
toi-663 b,2.27,4.45,2.598902,,TOI-663,0.514,0.512,3681.0,64.2308,160.0658525,-8.5110827,2024.0,Transit,674.0,M1 V
toi-663 c,2.66263751,,4.69559860409,,TOI-663,,0.512361,3719.0,64.2308,160.0658525,-8.5110827,2024.0,Transit,552.5,M
toi-663 d,1.92,5.2,7.1027268,,TOI-663,0.514,0.512,3681.0,64.2308,160.0658525,-8.5110827,2024.0,Transit,482.0,M1 V
toi-6716 b,0.982,,4.7185898,0.88,TOI-6716,0.223,0.231,3110.0,18.8873,111.657082,-30.5521801,2026.0,Transit,369.0,M4
toi-672 b,5.1614854,,3.63358341723,,TOI-672,,0.544068,3765.0,66.9071,167.9908627,-39.3281151,2023.0,Transit,613.48,M
toi-674 b,5.27060027,,1.97716584193,,TOI-674,,0.421944,3467.0,46.0851,164.5865592,-36.8581092,2021.0,Transit,644.29,M
toi-6894 b,9.3830336,,3.37063026728,,TOI-6894,,0.222121,3133.0,73.8131,173.4691418,12.4510906,2025.0,Transit,409.09,M
toi-700 b,0.96172883,,9.97727296316,,TOI-700,,0.419457,3482.0,31.1265,97.0957165,-65.5786149,2020.0,Transit,384.06,M
toi-700 c,2.65,,16.05111,0.078,TOI-700,0.415,0.424,3461.0,31.1265,97.0957165,-65.5786149,2020.0,Transit,356.0,M
toi-700 d,1.144,,37.42475,0.111,TOI-700,0.415,0.424,3461.0,31.1265,97.0957165,-65.5786149,2020.0,Transit,268.8,M
toi-700 e,0.953,,27.80978,0.059,TOI-700,0.415,0.421,3459.0,31.1265,97.0957165,-65.5786149,2023.0,Transit,,M2.5 V
toi-7149 b,13.2,224.0,2.65206166,0.078,TOI-7149,0.344,0.351,3363.0,126.126,244.7384657,19.1758116,2025.0,Transit,593.0,M4 V
toi-715 b,1.55,,19.288004,,TOI-715,0.225,0.24,3075.0,42.4048,113.8523276,-73.5774089,2023.0,Transit,234.0,M4
toi-7166 b,2.10045494,,12.92281113051,,TOI-7166,,0.223377,3166.0,35.4153,320.6806363,8.8893975,2025.0,Transit,264.58,M
toi-7384 b,3.56,,6.2340258,0.4,TOI-7384,0.318,0.319,3185.0,66.7902,83.1031834,-39.8342501,2026.0,Transit,378.0,M4
toi-756 b,3.18112137,,1.23925693308,,TOI-756,,0.507628,3614.0,86.1759,192.103738,-45.4704709,2025.0,Transit,827.95,M
toi-756 c,,1287.20504835,149.4,0.445,TOI-756,0.505,0.505,3657.0,86.1759,192.103738,-45.4704709,2025.0,Radial Velocity,194.0,M1 V
toi-762 a b,8.02723405,,3.47168080203,,TOI-762 A,,0.426785,3399.0,98.4458,166.0747423,-47.8214964,2024.0,Transit,517.89,M
toi-771 b,1.422,,2.326021,,TOI-771,0.22,0.242,3201.0,25.2788,164.1138903,-72.9851736,2024.0,Transit,527.19,M
toi-771 c,,2.87,7.61,0.065,TOI-771,0.22,0.232,3370.0,25.2788,164.1138903,-72.9851736,2025.0,Radial Velocity,365.0,M3
toi-776 b,,,8.24663,0.06,TOI-776,0.544,0.538,3709.0,27.1701,178.577997,-37.5533568,2020.0,Transit,,M1 V
toi-776 c,2.047,6.9,15.665323,0.089,TOI-776,0.542,0.547,3725.0,27.1701,178.577997,-37.5533568,2020.0,Transit,420.0,M
toi-782 b,2.734,19.1,8.0240015,0.19,TOI-782,0.397,0.413,3370.0,52.5122,183.9203614,-18.9103377,2024.0,Transit,435.0,M
toi-904 b,2.426,,10.8772,,TOI-904,0.557,0.527,3770.2,46.0891,89.3712733,-83.1297264,2023.0,Transit,429.43,M
toi-912 b,2.25248677,,4.67805901868,,TOI-912,,0.426465,3566.0,26.1072,229.3285665,-80.4733446,2025.0,Transit,495.23,M
trappist-1 b,1.116,1.374,1.510826,,TRAPPIST-1,0.0898,0.1192,2566.0,,346.6263919,-5.0434618,2016.0,Transit,,M
trappist-1 c,,,2.4219371,0.0,TRAPPIST-1,0.0898,0.1192,2566.0,,346.6263919,-5.0434618,2016.0,Transit,,M
trappist-1 d,,,4.04978035,,TRAPPIST-1,0.0898,0.1234,2520.0,,346.6263919,-5.0434618,2016.0,Transit,286.2,M
trappist-1 e,0.918,0.62,6.099615,0.085,TRAPPIST-1,0.0802,0.117,2559.0,,346.6263919,-5.0434618,2017.0,Transit,251.3,M
trappist-1 f,1.045,0.68,9.20669,0.063,TRAPPIST-1,0.0802,0.117,2559.0,,346.6263919,-5.0434618,2017.0,Transit,219.0,M
tyc 2187-512-1 b,,104.88337431,691.9,0.05,TYC 2187-512-1,0.498,0.495,3734.0,15.4744,320.5266829,22.9319351,2022.0,Radial Velocity,,M1.0 V
teegarden's star b,,1.05,4.91,0.0,Teegarden's Star,0.089,0.107,2904.0,3.83078,43.2691449,16.8649024,2019.0,Radial Velocity,,M7.0 V
teegarden's star c,,1.05,11.416,0.04,Teegarden's Star,0.097,0.12,3034.0,3.83078,43.2691449,16.8649024,2019.0,Radial Velocity,209.0,M
teegarden's star d,,0.82,26.13,0.07,Teegarden's Star,0.097,0.12,3034.0,3.83078,43.2691449,16.8649024,2024.0,Radial Velocity,159.0,M
ucac3 113-933 b,,6674.396547,,,UCAC3 113-933,0.61,,,52.5829,5.2758121,-33.8031679,2024.0,Imaging,,M0
usco ctio 108 b,,4449.62,,,USco CTIO 108,0.06,,2700.0,144.019,241.4752653,-18.3124167,2008.0,Imaging,,M7
usco1556 b,,4767.45,,,USco1556 A,0.33,,3410.0,140.635,239.1037198,-25.6890476,2019.0,Imaging,2240.0,M3.0 V
usco1621 b,,5085.28,,,USco1621 A,0.36,,3460.0,137.901,245.3730855,-25.4954265,2019.0,Imaging,2270.0,M2.5 V
v2376 ori b,87.20586985,6356.56814,,,V2376 Ori,0.45,,,,83.839818,-5.3515552,2025.0,Imaging,2100.0,M
wolf 1061 b,,1.91,4.8869,0.15,Wolf 1061,0.294,0.307,3342.0,4.30592,247.5748276,-12.6676866,2015.0,Radial Velocity,,M3.5
wolf 1061 c,,4.25,17.867,0.19,Wolf 1061,0.25,,3393.0,4.30592,247.5748276,-12.6676866,2015.0,Radial Velocity,,M3/3.5 V
wolf 1061 d,,7.7,217.21,0.55,Wolf 1061,0.294,0.307,3342.0,4.30592,247.5748276,-12.6676866,2015.0,Radial Velocity,,M3.5
wolf 1069 b,,1.26,15.564,,Wolf 1069,0.167,0.1813,3158.0,9.58341,306.5242477,58.5753044,2023.0,Radial Velocity,250.1,M5.0 V
wolf 327 b,1.49695306,,0.57347655189,,Wolf 327,,0.420908,3466.0,28.5321,148.3783199,35.570548,2024.0,Transit,988.25,M
yz cet b,,0.75,1.96876,0.0,YZ Cet,0.13,0.168,3056.0,3.71207,18.1330792,-16.9962434,2017.0,Radial Velocity,,M4.5
yz cet c,,1.14,3.05989,0.0,YZ Cet,0.142,0.157,3151.0,3.71207,18.1330792,-16.9962434,2017.0,Radial Velocity,410.3,M4.5 V
yz cet d,,1.21,4.6568,0.02,YZ Cet,0.13,0.169,,3.71207,18.1330792,-16.9962434,2017.0,Radial Velocity,,M4 V
2mass j0534-0530 b,,4.6,,,2MASS J0534-0530,0.07,0.74,2841.0,413.5,83.61902968,-5.509038831,2020.0,Imaging,,M
