pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype,star_metallicity,star_gaia_magnitude
toi-5817 b,3.02725841,,15.61460575154,,TOI-5817,,1.38207,5809.0,80.7542,322.3777987,21.474527,2025.0,Transit,855.96,,,8.48343
toi-5882 b,14.1861,,7.1487697,,TOI-5882,,2.35,5706.0,416.104,311.8886385,34.7374918,2025.0,Transit,2317.0,,,11.1063
toi-5916 b,10.9197,,2.3682389,,TOI-5916,,0.49,3504.0,199.724,325.2995114,9.5990534,2026.0,Transit,735.0,,,15.6925
toi-5926 b,7.38288,,3.8116176,,TOI-5926,,0.89,5430.0,275.103,308.0784435,15.5030795,2026.0,Transit,987.0,,,12.5095
toi-5938 b,3.82,,2.260424,,TOI-5938,0.744,0.712,4650.0,114.035,303.9088422,28.6592261,2026.0,Transit,1077.0,,0.07,12.0577
toi-6000 b,0.94,,0.448959,,TOI-6000,0.37,0.38,3419.0,75.7664,292.6062979,68.1545924,2025.0,Transit,1120.0,,,14.3736
toi-6002 b,1.5489482,,10.90483924619,,TOI-6002,,0.242121,3272.0,32.0266,299.6142524,32.2871702,2024.0,Transit,296.4,,,13.9558
toi-6008 b,1.24654784,,0.85737269789,,TOI-6008,,0.235048,3098.0,23.1008,310.4487344,49.6468992,2024.0,Transit,649.33,,,13.7122
toi-6016 b,13.67495645,371.85923619,4.023687,0.0,TOI-6016,1.31,1.51,6110.0,364.715,4.5239602,59.7661983,2024.0,Transit,1890.0,F,0.28,11.9184
toi-6029 b,14.39233122,519.64944544,5.7987,0.091,TOI-6029,1.548,2.338,6223.0,603.119,8.3862555,61.8607659,2024.0,Transit,,,0.37,12.2681
toi-6034 b,11.92,254.0,2.576184,0.04,TOI-6034,0.514,0.489,3635.0,117.992,317.9001392,68.4020762,2024.0,Transit,714.0,,-0.09,14.3143
toi-6038 a b,6.41,78.5,5.8267311,,TOI-6038 A,1.291,1.648,6110.0,179.147,51.6572691,40.8172704,2025.0,Transit,1439.0,,0.124,9.72957
toi-6041 b,4.55,28.9,26.04945,,TOI-6041,0.885,0.879,5445.0,72.4731,46.0610334,43.5576668,2025.0,Transit,605.6,G7,0.104,9.70942
toi-6041 c,,77.9,88.0,,TOI-6041,0.885,0.879,5445.0,72.4731,46.0610334,43.5576668,2025.0,Radial Velocity,403.5,G7,0.104,9.70942
toi-6054.01,2.64,12.5,7.501428,0.164,TOI-6054,1.107,1.662,6047.0,79.407,56.337007,60.350917,2024.0,Transit,1360.0,,-0.07,7.87799
toi-6054.02,2.864,,12.574998029,,TOI-6054,1.15,1.612,6112.0,79.407,56.337007,60.350917,2024.0,Transit,,,,7.87799
toi-6080 b,3.37788363,,8.05557162699,,TOI-6080,,1.06221,5680.0,188.183,266.6044226,38.0787076,2026.0,Transit,919.33,,,11.0489
toi-6086 b,1.18,,1.3888725,,TOI-6086,0.254,0.259,3200.0,31.4566,265.3704236,30.3037755,2024.0,Transit,634.0,M3.0,0.11,13.6971
toi-6109 b,4.8704,,5.690476,,TOI-6109,1.03,1.021,5660.0,151.738,50.1319206,42.6069564,2025.0,Transit,,G3,,10.8316
toi-6109 c,4.04578,,8.5386633,,TOI-6109,,0.95,5416.1,151.738,50.1319206,42.6069564,2025.0,Transit,786.0,,,10.8316
toi-6130 b,14.3474953,333.71982735,2.392679,0.036,TOI-6130,1.31,1.51,6110.0,220.882,339.2050832,16.8271941,2024.0,Transit,1750.0,F,0.28,10.9775
toi-615 b,19.1536,,4.6616079,,TOI-615,,1.7,7437.0,360.408,133.4086892,-40.543701,2023.0,Transit,1682.0,,,10.5775
toi-620 b,3.76,,5.0988179,0.22,TOI-620,0.577,0.55,3708.0,33.0231,142.1734459,-12.1671652,2022.0,Transit,603.6,M2.5 V,0.35,11.3104
toi-622 b,9.30024126,,6.40252947289,,TOI-622,,1.4072,7056.0,123.297,125.3050544,-46.4842959,2023.0,Transit,1274.23,,,8.89103
toi-6223 b,5.07,,3.855219,,TOI-6223,0.582,0.576,3895.0,133.122,355.9505977,33.0672361,2025.0,Transit,714.0,M0 V,-0.12,13.6201
toi-6255 b,1.079,1.44,0.23818244,0.0,TOI-6255,0.353,0.37,3421.0,20.3167,331.5031606,39.2988284,2024.0,Transit,,,-0.14,11.6345
toi-628 b,11.88154,2011.8639,3.4095675,0.072,TOI-628,1.311,1.345,6250.0,178.68,99.2630608,1.7675497,2021.0,Transit,1586.0,,0.258,10.0579
toi-6281 b,2.77385,,1.0542548,,TOI-6281,,0.87,4160.1,57.7451,172.3785238,-40.6094246,2026.0,Transit,2240.0,,,10.6517
toi-6303 b,11.59,2493.0,9.485236,0.02,TOI-6303,0.644,0.609,3977.0,152.219,46.7806502,40.147174,2025.0,Transit,541.0,,0.44,13.9114
toi-6324 b,1.059,1.17,0.279221,0.0,TOI-6324,0.269,0.293,3247.0,20.5488,330.844543,67.4986773,2025.0,Transit,1216.0,,-0.32,12.214
toi-6330 b,10.89,3179.0,6.8500246,0.34,TOI-6330,0.531,0.49,3539.0,139.042,22.1679816,53.6860778,2025.0,Transit,495.0,,0.08,14.9341
toi-6383 a b,11.29,331.0,1.79058695,0.05,TOI-6383 A,0.458,0.457,3444.0,171.319,60.4246951,60.8913677,2024.0,Transit,745.0,M3,,15.6628
toi-6393 b,2.62547,,9.5315703,,TOI-6393,,0.77,5022.0,186.229,141.2436918,68.7883127,2026.0,Transit,696.0,,,12.3521
toi-640 b,19.2794468,181.16219199,5.003777,0.013,TOI-640,1.536,2.082,6460.0,341.997,99.7345935,-36.64613,2021.0,Transit,1816.0,,0.072,10.4006
toi-6420 b,11.93756445,2606.1929374,6.961508,0.078,TOI-6420,1.165,1.312,6020.0,634.712,125.5443036,-19.1242852,2025.0,Transit,1213.0,,0.24,12.9023
toi-6448 b,8.47398941,,14.844261,0.2,TOI-6448,1.03,0.897,5910.0,386.879,110.1704109,-33.9223285,2025.0,Transit,745.0,,,12.7778
toi-6478 b,4.6,,34.005019,,TOI-6478,0.23,0.234,3230.0,38.6057,149.9918059,-16.1597935,2025.0,Transit,204.4,M4.0+/-0.5,-0.53,14.313
toi-654.01,2.378,8.71,1.527561,0.0,TOI-654,0.419,0.43,3521.0,57.7553,164.7245509,-5.5475446,2024.0,Transit,794.0,M2 V,0.12,13.4339
toi-6628 b,10.98480109,235.19302118,18.18424,0.67,TOI-6628,0.97,1.01,5463.0,320.527,225.8370504,-35.2305793,2025.0,Transit,833.0,,0.36,12.6408
toi-663 b,2.27,4.45,2.598902,,TOI-663,0.514,0.512,3681.0,64.2308,160.0658525,-8.5110827,2024.0,Transit,674.0,M1 V,0.07,12.8191
toi-663 c,2.66263751,,4.69559860409,,TOI-663,,0.512361,3719.0,64.2308,160.0658525,-8.5110827,2024.0,Transit,552.5,,,12.8191
toi-663 d,1.92,5.2,7.1027268,,TOI-663,0.514,0.512,3681.0,64.2308,160.0658525,-8.5110827,2024.0,Transit,482.0,M1 V,0.07,12.8191
toi-6651 b,5.09264,,5.0569708,,TOI-6651,,1.8,5818.9,212.128,15.7885904,35.3890405,2024.0,Transit,1227.0,,,10.0418
toi-6677 b,8.32098,,5.4496736,,TOI-6677,,1.57,6760.0,340.52,290.4719117,-46.8749591,2026.0,Transit,334.0,,,10.7788
toi-669 b,2.6,9.8,3.94515,0.23,TOI-669,0.9,0.99,5600.0,142.867,158.9007013,-5.1813735,2023.0,Transit,1235.0,,-0.06,10.6364
toi-6692 b,11.67975789,197.05361234,131.125,0.537,TOI-6692,1.047,1.385,5890.0,312.903,312.6940436,-81.2723982,2026.0,Transit,467.0,,-0.008,11.5826
toi-6695 b,7.63746901,,,,TOI-6695,,1.56229,6118.81,282.536,129.5720221,-23.550217,2025.0,Transit,776.55,,,10.7445
toi-6695 c,,460.85119015,242.4,0.022,TOI-6695,1.338,1.517,6400.0,282.536,129.5720221,-23.550217,2025.0,Radial Velocity,415.0,F5V-G0V,0.2,10.7445
toi-6699 b,2.32645266,,5.32005926761,,TOI-6699,,0.75309,4705.1,85.8463,317.0695839,-63.2504996,2026.0,Transit,,,,11.0299
toi-6707 b,5.66481228,,3.83472822513,,TOI-6707,,1.58202,6088.34,641.467,109.7634707,-58.1155263,2026.0,Transit,1509.43,,,12.7475
toi-6716 b,0.982,,4.7185898,0.88,TOI-6716,0.223,0.231,3110.0,18.8873,111.657082,-30.5521801,2026.0,Transit,369.0,M4,0.0,13.1269
toi-672 b,5.1614854,,3.63358341723,,TOI-672,,0.544068,3765.0,66.9071,167.9908627,-39.3281151,2023.0,Transit,613.48,,,12.7364
toi-674 b,5.27060027,,1.97716584193,,TOI-674,,0.421944,3467.0,46.0851,164.5865592,-36.8581092,2021.0,Transit,644.29,,,13.0914
toi-677 b,,400.46379282,11.236168,0.436,TOI-677,1.158,1.281,6295.0,141.812,144.1193594,-50.4630933,2020.0,Transit,,,-0.02,9.66082
toi-682.01,4.39,,6.84,,TOI-682,0.85,1.08433,5085.0,83.1548,167.88543,-22.0727803,2021.0,Transit,,,0.27,9.74198
toi-6894 b,9.3830336,,3.37063026728,,TOI-6894,,0.222121,3133.0,73.8131,173.4691418,12.4510906,2025.0,Transit,409.09,,,16.3092
toi-6954 b,3.74825,,4.0207557,,TOI-6954,,0.95,5019.9,190.042,168.3240591,-2.7877643,2026.0,Transit,930.0,,,11.9906
toi-697 b,2.35859364,,8.60788713593,,TOI-697,,0.968149,5681.95,93.7714,69.7042208,-36.6813257,2026.0,Transit,,,,9.8273
toi-700 b,0.96172883,,9.97727296316,,TOI-700,,0.419457,3482.0,31.1265,97.0957165,-65.5786149,2020.0,Transit,384.06,,,12.0665
toi-700 c,2.65,,16.05111,0.078,TOI-700,0.415,0.424,3461.0,31.1265,97.0957165,-65.5786149,2020.0,Transit,356.0,,-0.07,12.0665
toi-700 d,1.144,,37.42475,0.111,TOI-700,0.415,0.424,3461.0,31.1265,97.0957165,-65.5786149,2020.0,Transit,268.8,,-0.07,12.0665
toi-700 e,0.953,,27.80978,0.059,TOI-700,0.415,0.421,3459.0,31.1265,97.0957165,-65.5786149,2023.0,Transit,,M2.5 V,-0.07,12.0665
toi-7008 b,4.77919,,0.8406912,,TOI-7008,,0.95,5170.0,410.467,216.9882531,79.450396,2026.0,Transit,1783.0,,,13.4518
toi-7009 b,3.71,,2.3206612,,TOI-7009,0.583,0.564,4080.0,184.12,299.5131334,55.6510291,2026.0,Transit,872.0,,-0.11,13.7151
toi-7041 b,11.43316031,114.41822652,9.691,0.04,TOI-7041,1.07,4.1,4700.0,439.52,357.8021716,-50.8698618,2025.0,Transit,,,0.25,10.908
toi-712 b,2.049,,9.531361,0.54,TOI-712,0.732,0.674,4622.0,58.6212,92.9361063,-65.8258386,2022.0,Transit,650.0,K4.5 V,-0.02,10.5785
toi-712 c,2.45531,,51.69919052045,,TOI-712,,0.72,4504.0,58.6212,92.9361063,-65.8258386,2022.0,Transit,357.0,,,10.5785
toi-712 d,2.03857,,84.83869,,TOI-712,,0.72,4504.0,58.6212,92.9361063,-65.8258386,2022.0,Transit,292.0,,,10.5785
toi-7149 b,13.2,224.0,2.65206166,0.078,TOI-7149,0.344,0.351,3363.0,126.126,244.7384657,19.1758116,2025.0,Transit,593.0,M4 V,-0.08,16.1589
toi-715 b,1.55,,19.288004,,TOI-715,0.225,0.24,3075.0,42.4048,113.8523276,-73.5774089,2023.0,Transit,234.0,M4,-0.25,14.894
toi-7155 b,2.15693,,3.8949005,,TOI-7155,,0.67,4718.0,144.751,12.4454481,79.2878555,2026.0,Transit,914.0,,,12.4844
toi-7166 b,2.10045494,,12.92281113051,,TOI-7166,,0.223377,3166.0,35.4153,320.6806363,8.8893975,2025.0,Transit,264.58,,,14.4918
toi-733 b,1.94753,,4.8847937,,TOI-733,,0.94,5969.0,75.2092,159.4093183,-40.888259,2023.0,Transit,1076.0,,,9.28881
toi-7333 b,2.09469416,,6.26449803661,,TOI-7333,,0.666066,4586.87,157.217,243.5319622,75.9166315,2026.0,Transit,,,,12.8288
toi-7384 b,3.56,,6.2340258,0.4,TOI-7384,0.318,0.319,3185.0,66.7902,83.1031834,-39.8342501,2026.0,Transit,378.0,M4,0.0,15.0456
toi-7510 b,7.34188236,7.94571018,11.5075,,TOI-7510,1.02,1.02,5820.0,249.006,273.728188,-54.4340547,2025.0,Transit,872.0,,0.2,11.7871
toi-7510 c,9.25092411,,22.57099907595,,TOI-7510,,1.079,5586.0,249.006,273.728188,-54.4340547,2025.0,Transit,863.55,,,11.7871
toi-7510 d,6.31985446,,48.86217278727,,TOI-7510,,1.079,5586.0,249.006,273.728188,-54.4340547,2025.0,Transit,593.78,,,11.7871
toi-756 b,3.18112137,,1.23925693308,,TOI-756,,0.507628,3614.0,86.1759,192.103738,-45.4704709,2025.0,Transit,827.95,,,13.6961
toi-756 c,,1287.20504835,149.4,0.445,TOI-756,0.505,0.505,3657.0,86.1759,192.103738,-45.4704709,2025.0,Radial Velocity,194.0,M1 V,0.196,13.6961
toi-757 b,2.17884,,17.4682298,,TOI-757,,0.76,5499.0,60.3418,187.9948428,-35.5544523,2024.0,Transit,618.0,,,9.55369
