pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hd 148156 b,,270.144,1027.0,0.52,HD 148156,1.22,1.21,6308.0,57.1289,247.0723035,-46.3175085,2009.0,Radial Velocity,,F
hd 148164 b,,390.9309,328.55,0.587,HD 148164,1.21,1.34,6032.0,77.1971,246.4351678,11.9190729,2018.0,Radial Velocity,,F8
hd 148164 c,,1640.0028,5062.0,0.125,HD 148164,1.21,1.34,6032.0,77.1971,246.4351678,11.9190729,2018.0,Radial Velocity,,F8
hd 149026 b,8.33267,,2.8758831,,HD 149026,,1.46,6084.0,75.8643,247.6229827,38.3475349,2005.0,Radial Velocity,1602.0,F
hd 153950 b,,937.5985,499.39999,0.34,HD 153950,1.25,1.28,6124.0,48.4549,256.1292826,-43.3103753,2008.0,Radial Velocity,,F
hd 155193 b,,238.37130525,352.65,0.21,HD 155193,1.221,,6239.0,57.7995,257.4208876,10.0381003,2021.0,Radial Velocity,,F8 IV
hd 156411 b,,235.18,842.2,0.22,HD 156411,1.25,2.16,5900.0,56.8655,259.9639522,-48.5502313,2009.0,Radial Velocity,,F8 IV/V
hd 1666 b,,2040.0,270.0,0.63,HD 1666,1.5,1.93,6317.0,117.908,5.2180424,-19.9314823,2015.0,Radial Velocity,,F7 V
hd 169830 b,,915.31,225.62,0.31,HD 169830,1.4,,6299.0,37.6048,276.9561859,-29.8167919,2000.0,Radial Velocity,,F8 V
hd 169830 c,,1283.98,2102.0,0.33,HD 169830,1.4,,6299.0,37.6048,276.9561859,-29.8167919,2003.0,Radial Velocity,,F8 V
hd 179949 b,,307.34006957,3.092535,0.016,HD 179949,1.220173,1.266865,6176.2,27.4573,288.8890182,-24.1797939,2000.0,Radial Velocity,,F
hd 185269 b,,346.4347,6.83785,0.3,HD 185269,1.57,2.0,6048.0,51.9917,294.2987668,28.499514,2006.0,Radial Velocity,,F
hd 187085 b,,265.70588,1019.74,0.251,HD 187085,1.189,1.27,6117.0,45.8993,297.3915731,-37.7809929,2006.0,Radial Velocity,,F
hd 190984 b,,985.2,4885.0,0.57,HD 190984,0.91,1.53,5988.0,148.187,302.8779827,-64.6202728,2009.0,Radial Velocity,,F8 V
hd 196885 a b,,947.1334,1325.8575,0.48,HD 196885 A,1.18,1.43072,6172.0,34.1692,309.9664609,11.2500236,2007.0,Radial Velocity,,F
hd 197037 b,,251.0,1035.7,0.22,HD 197037,1.11,,6150.0,33.1944,309.8869681,42.247593,2012.0,Radial Velocity,,F7 V
hd 19994 b,,435.41,466.2,0.063,HD 19994,1.365,,6188.0,22.5242,48.1943193,-1.1963955,2003.0,Radial Velocity,,F8 V
hd 202772 a b,24.9862,,3.3088922,,HD 202772 A,,2.62,6188.0,161.498,319.6995877,-26.6163743,2019.0,Transit,3184.0,F
hd 205739 b,,435.41,279.8,0.27,HD 205739,1.22,1.33,6176.0,92.5087,324.5351273,-31.7378373,2008.0,Radial Velocity,,F
hd 206893 b,14.01122587,8899.195396,9350.0,0.14,HD 206893,1.32,,,40.7583,326.3416874,-12.7833522,2021.0,Imaging,1429.2,F5 V
hd 206893 c,16.36511182,4036.4207689,2090.0,0.41,HD 206893,1.32,,,40.7583,326.3416874,-12.7833522,2022.0,Imaging,1181.9,F5 V
hd 211403 b,,1760.76937478,223.8,0.084,HD 211403,1.2,1.206,6273.0,83.0919,333.8158177,58.2755601,2021.0,Radial Velocity,380.0,F7 V
hd 212301 b,,162.0933,2.24571,0.0,HD 212301,1.55,1.16,6239.0,54.2304,336.8803957,-77.7183219,2005.0,Radial Velocity,,F
hd 217786 b,,9185.2409623,1302.1,0.3158,HD 217786,1.02,,5966.0,55.4847,345.7838088,-0.4303594,2011.0,Radial Velocity,,F8 V
